node1,node2,distance
グリーンパレス春日井,下原本町,616.9073256620944
グリーンパレス春日井,東山住宅前,1205.8449586788856
松新橋南,大和通,970.2434538035806
松新橋南,松河戸交番北,797.6891517730337
松新橋南,松河戸住宅,616.1048436074519
松新橋南,勝川駅南,349.6915586627944
松新橋南,勝川駅前,410.3827787957276
大和通,勝川新町,708.898753731088
大和通,神明町,379.44185138579275
大和通,勝川駅前,617.38773012202
白山町,名鉄牛山駅,4354.407135825743
白山町,味美ふれあいセンター,367.89498850183094
名鉄牛山駅,松山小学校,2652.584638639582
名鉄牛山駅,牛山新田橋東,300.5670184142018
名鉄牛山駅,寺田台東,743.8799674192541
名鉄牛山駅,西部ふれあいセンター,2017.1672937429983
名鉄牛山駅,さつき台児童遊園,908.0890317073382
名鉄牛山駅,天神社南,1192.222354542643
名鉄牛山駅,西部中学校,1788.688486872762
石尾台北,石尾台南,890.5755092119465
石尾台南,押沢台,548.0288870800781
石尾台南,押沢台5丁目,771.6697875640551
石尾台南,中央台,1176.6494186986372
福祉の里,尾張明知,1402.7148533525635
福祉の里,大山口,1119.1544743518778
福祉の里,神屋工業団地口,852.7101007216737
福祉の里,神屋,1236.1389911647084
福祉の里,坂下出張所前,940.6392705047798
尾張明知,大山口,389.57402000660164
尾張明知,西尾,920.5443929813285
尾張明知,愛知県コロニー,1252.621305556858
大山口,愛知県コロニー,982.2916285137553
大山口,坂下出張所前,692.8258861858637
内津口,西尾上,628.434978491955
内津口,西尾,1219.1944391777677
西尾上,西尾,595.1969361272342
春日台,坂下神社,539.1699252757305
春日台,春日台口,302.26047982427974
坂下神社,春日台口,434.19428467221684
坂下神社,坂下六丁目,695.862437677486
坂下神社,坂下,604.1439523525621
坂下神社,かみや団地,932.9678620552162
坂下神社,坂下公民館,391.25179698117176
春日台口,坂下六丁目,688.7815511441601
大留町中,高蔵寺町1丁目,1608.7051026889314
大留町中,大留町東,359.52056884234
大留町中,高蔵寺幼稚園北口,2740.643453827147
大留町中,神領町東,1212.0238286540186
大留町中,出川,1333.9594993310911
大留町中,大留町4丁目,294.1647057784378
大留町中,東出川,1166.2819781264434
高蔵寺町1丁目,大留町東,1256.8956726346962
高蔵寺町1丁目,高蔵寺幼稚園北口,1161.6513674582625
高蔵寺町1丁目,高蔵寺ふれあいセンター北,655.5429226136442
高蔵寺町1丁目,繁田,390.28227850209885
高蔵寺町1丁目,北気噴,673.2097707515561
高蔵寺町1丁目,気噴町,397.52473738700286
高蔵寺町1丁目,高蔵寺町2丁目,405.5409678129928
大留町東,気噴町西,445.84161773622577
大留町東,不二小学校前,1019.1693247994938
大留町東,東出川,1055.166617540092
大留町東,気噴町,868.5833214888066
高蔵寺幼稚園北口,泰岳寺東,7985.8996441055515
高蔵寺幼稚園北口,堀ノ内町,4841.167266968994
高蔵寺幼稚園北口,高蔵寺ふれあいセンター北,523.6130439574574
高蔵寺幼稚園北口,神領町東,3887.704316327227
高蔵寺幼稚園北口,高蔵寺,375.06042361667755
泰岳寺東,堀ノ内町,3393.445246385841
泰岳寺東,上条町南,316.3612086339676
泰岳寺東,中切町,1369.4335992114325
泰岳寺東,南部ふれあいセンター,1122.8313086561684
泰岳寺東,下津保育園北,672.1530765046449
泰岳寺東,玉野,10356.57546147932
堀ノ内町,上条町南,3123.792709245532
